2025-01-20T06:25:58+00:00 INFO User in action: 9: Order id: 128, Customer id: 9, Is membership: 1, Is wallet: , Wallet id: 13, Membership id: 11
2025-01-20T10:08:40+00:00 INFO User in action: 10: Order id: 142, Customer id: 10, Is membership: 1, Is wallet: , Wallet id: 13, Membership id: 11
2025-01-20T10:08:54+00:00 INFO User in action: 1: Order id: 143, Customer id: 1, Is membership: 1, Is wallet: , Wallet id: 13, Membership id: 11
2025-01-20T10:08:54+00:00 INFO User in action: 1: Order id: 144, Customer id: 1, Is membership: 1, Is wallet: , Wallet id: 13, Membership id: 11
2025-01-20T10:08:56+00:00 INFO User in action: 10: Order id: 145, Customer id: 10, Is membership: 1, Is wallet: , Wallet id: 13, Membership id: 11
2025-01-20T10:09:09+00:00 INFO User in action: 1: Order id: 146, Customer id: 1, Is membership: 1, Is wallet: , Wallet id: 13, Membership id: 11
2025-01-20T10:09:10+00:00 INFO User in action: 1: Order id: 147, Customer id: 1, Is membership: 1, Is wallet: , Wallet id: 13, Membership id: 11
2025-01-20T10:09:10+00:00 INFO User in action: 1: Order id: 148, Customer id: 1, Is membership: 1, Is wallet: , Wallet id: 13, Membership id: 11
2025-01-20T10:09:11+00:00 INFO User in action: 10: Order id: 149, Customer id: 10, Is membership: 1, Is wallet: , Wallet id: 13, Membership id: 11
2025-01-20T10:09:24+00:00 INFO User in action: 1: Order id: 150, Customer id: 1, Is membership: 1, Is wallet: , Wallet id: 13, Membership id: 11
2025-01-20T10:09:25+00:00 INFO User in action: 1: Order id: 151, Customer id: 1, Is membership: 1, Is wallet: , Wallet id: 13, Membership id: 11
2025-01-20T11:32:11+00:00 INFO User in action: 13: Order id: 153, Customer id: 13, Is membership: 1, Is wallet: , Wallet id: 13, Membership id: 11
2025-01-20T11:32:27+00:00 INFO User in action: 13: Order id: 154, Customer id: 13, Is membership: 1, Is wallet: , Wallet id: 13, Membership id: 11
2025-01-20T11:32:29+00:00 INFO User in action: 1: Order id: 155, Customer id: 1, Is membership: 1, Is wallet: , Wallet id: 13, Membership id: 11
2025-01-20T11:35:21+00:00 INFO User in action: 1: Order id: 156, Customer id: 1, Is membership: 1, Is wallet: , Wallet id: 13, Membership id: 11
2025-01-20T11:35:32+00:00 INFO User in action: 1: Order id: 157, Customer id: 1, Is membership: 1, Is wallet: , Wallet id: 13, Membership id: 11
2025-01-20T11:35:37+00:00 INFO User in action: 1: Order id: 158, Customer id: 1, Is membership: 1, Is wallet: , Wallet id: 13, Membership id: 11
2025-01-20T11:35:38+00:00 INFO User in action: 1: Order id: 159, Customer id: 1, Is membership: 1, Is wallet: , Wallet id: 13, Membership id: 11
2025-01-20T11:35:48+00:00 INFO User in action: 1: Order id: 160, Customer id: 1, Is membership: 1, Is wallet: , Wallet id: 13, Membership id: 11
2025-01-20T11:36:31+00:00 INFO User in action: 1: Order id: 161, Customer id: 1, Is membership: 1, Is wallet: , Wallet id: 13, Membership id: 11
2025-01-20T11:36:47+00:00 INFO User in action: 1: Order id: 162, Customer id: 1, Is membership: 1, Is wallet: , Wallet id: 13, Membership id: 11
2025-01-20T11:36:48+00:00 INFO User in action: 1: Order id: 163, Customer id: 1, Is membership: 1, Is wallet: , Wallet id: 13, Membership id: 11
2025-01-20T11:45:52+00:00 INFO User in action: 0: Order id: 164, Customer id: 15, Is membership: 1, Is wallet: , Wallet id: 13, Membership id: 11
